,heuristic,branches,time
0,rc,18,1.4556515216827393
1,rc,19,1.4390549659729004
2,rc,119,3.3455469608306885
3,rc,19,1.3967149257659912
4,rc,15,1.479001760482788
5,rc,54,2.049495220184326
6,rc,3,1.1967477798461914
7,rc,54,2.5226476192474365
8,rc,23,1.6180541515350342
9,rc,21,1.9051251411437988
10,rc,6,1.4652597904205322
11,rc,3,1.646667242050171
12,rc,50,2.2576305866241455
13,rc,24,1.9614334106445312
14,rc,18,2.518044948577881
15,rc,4,1.396378993988037
16,rc,17,1.5298686027526855
17,rc,61,3.070329189300537
18,rc,3,1.390009880065918
19,rc,17,1.78818941116333
20,rc,13,1.7553296089172363
21,rc,6,1.4506621360778809
22,rc,62,2.2952733039855957
23,rc,3,1.9838142395019531
24,rc,17,2.1776020526885986
25,rc,102,4.013000249862671
26,rc,2,1.2921538352966309
27,rc,42,2.012354850769043
28,rc,30,1.9896936416625977
29,rc,39,1.9259459972381592
30,rc,85,2.5782735347747803
31,rc,88,3.4634923934936523
32,rc,8,1.4141809940338135
33,rc,2,1.228996992111206
34,rc,12,1.4514427185058594
35,rc,22,1.7390093803405762
36,rc,23,1.801851511001587
37,rc,55,2.3259778022766113
38,rc,7,1.2525858879089355
39,rc,21,1.60013747215271
40,rc,33,1.641866683959961
41,rc,7,1.2841744422912598
42,rc,17,1.482055902481079
43,rc,42,1.8144166469573975
44,rc,34,1.8355321884155273
45,rc,30,1.6232564449310303
46,rc,51,1.7588717937469482
47,rc,41,2.143484354019165
48,rc,20,1.536344051361084
49,rc,82,2.5251195430755615
50,rc,10,1.3595449924468994
51,rc,31,1.7931177616119385
52,rc,63,2.1223719120025635
53,rc,10,1.3248240947723389
54,rc,6,1.254666805267334
55,rc,23,1.5222382545471191
56,rc,12,1.55674147605896
57,rc,10,1.355283260345459
58,rc,7,1.3805646896362305
59,rc,30,1.8541123867034912
60,rc,20,1.6807076930999756
61,rc,68,2.3677220344543457
62,rc,14,1.458820104598999
63,rc,14,1.4725685119628906
64,rc,5,1.2848172187805176
65,rc,32,1.7429676055908203
66,rc,8,1.3277957439422607
67,rc,2,1.352752923965454
68,rc,30,1.9180653095245361
69,rc,15,1.4324839115142822
70,rc,47,2.0298385620117188
71,rc,78,2.453829765319824
72,rc,5,1.2608370780944824
73,rc,18,1.447965383529663
74,rc,8,1.3712809085845947
75,rc,18,1.5490963459014893
76,rc,32,2.0451834201812744
77,rc,11,1.4540009498596191
78,rc,8,1.2298412322998047
79,rc,18,1.5157616138458252
80,rc,22,1.5507712364196777
81,rc,7,1.2997593879699707
82,rc,17,1.4509835243225098
83,rc,15,1.4583024978637695
84,rc,2,1.2550361156463623
85,rc,20,1.6539297103881836
86,rc,7,1.3903446197509766
87,rc,33,1.7977337837219238
88,rc,9,1.2405736446380615
89,rc,21,1.5058538913726807
90,rc,9,1.2599105834960938
91,jw,321,7.5129594802856445
92,jw,262,6.745866775512695
93,jw,11,1.5153918266296387
94,jw,247,6.73810887336731
95,jw,33,2.2809317111968994
96,jw,53,2.824028491973877
97,jw,124,3.5710322856903076
98,jw,92,3.4496755599975586
99,jw,48,2.55483078956604
100,jw,31,1.9553110599517822
101,jw,17,1.9506967067718506
102,jw,49,2.058978319168091
103,jw,49,2.451228141784668
104,jw,10,1.5017883777618408
105,jw,7,1.3862042427062988
106,jw,131,4.054894208908081
107,jw,7,1.344465970993042
108,jw,16,1.8639500141143799
109,jw,41,2.396651268005371
110,jw,71,2.5100297927856445
111,jw,27,2.617741107940674
112,jw,22,1.7204196453094482
113,jw,31,2.013667345046997
114,jw,25,1.7393016815185547
115,jw,34,2.5436761379241943
116,jw,73,3.0490548610687256
117,jw,4,1.4670605659484863
118,jw,24,2.0771429538726807
119,jw,26,2.3657708168029785
120,jw,43,1.947932481765747
121,jw,15,1.5441782474517822
122,jw,13,1.8442556858062744
123,jw,23,1.9443647861480713
124,jw,32,1.9885787963867188
125,jw,9,1.413102388381958
126,jw,39,2.0697999000549316
127,jw,11,1.5278444290161133
128,jw,52,2.5039570331573486
129,jw,12,1.5153827667236328
130,jw,12,1.464029312133789
131,jw,32,1.9743893146514893
132,jw,13,1.7787184715270996
133,jw,51,2.3237013816833496
134,jw,30,1.9718806743621826
135,jw,17,1.6781198978424072
136,jw,8,1.603215217590332
137,jw,7,1.4010238647460938
138,jw,76,3.624778985977173
139,jw,63,2.3621528148651123
140,jw,82,3.8906540870666504
141,jw,39,2.4423282146453857
142,jw,9,1.366689682006836
143,jw,40,2.493515729904175
144,jw,151,4.375136137008667
145,jw,13,1.4452300071716309
146,jw,48,2.4330289363861084
147,jw,33,1.8531973361968994
148,jw,37,2.1409335136413574
149,jw,19,2.0193519592285156
150,jw,15,1.7214667797088623
151,jw,12,1.5569794178009033
152,jw,27,1.9732072353363037
153,jw,14,1.6641967296600342
154,jw,37,2.137727737426758
155,jw,52,2.7254345417022705
156,jw,29,1.8708558082580566
157,jw,6,1.4919769763946533
158,jw,4,1.3872742652893066
159,jw,41,2.9696385860443115
160,jw,19,1.4091317653656006
161,jw,22,1.7920091152191162
162,jw,22,1.9035181999206543
163,jw,31,1.9477062225341797
164,jw,119,3.1642942428588867
165,jw,27,2.8923614025115967
166,jw,46,2.606762170791626
167,jw,31,2.408158302307129
168,jw,13,1.7516529560089111
169,jw,58,3.1531238555908203
170,jw,47,2.7865617275238037
171,jw,39,2.3886051177978516
172,jw,9,1.387223720550537
173,jw,7,1.3932137489318848
174,jw,6,1.3383257389068604
175,jw,72,2.5727720260620117
176,jw,40,2.3291547298431396
177,jw,16,1.8604788780212402
178,jw,42,2.5451748371124268
179,jw,8,1.5510916709899902
180,jw,55,1.9550495147705078
181,jw,43,2.5806405544281006
182,random,271,6.177399158477783
183,random,253,5.214855432510376
184,random,673,13.82761526107788
185,random,102,2.3529677391052246
186,random,156,3.4616782665252686
187,random,897,14.026304006576538
188,random,225,3.8922793865203857
189,random,164,3.200101613998413
190,random,73,2.2655999660491943
191,random,269,4.738672733306885
192,random,68,2.3819122314453125
193,random,251,4.446032285690308
194,random,8,1.1995539665222168
195,random,1080,20.41130518913269
196,random,243,5.458181142807007
197,random,55,1.738666296005249
198,random,65,2.1344411373138428
199,random,7,1.249986171722412
200,random,266,5.957233190536499
201,random,85,2.1587982177734375
202,random,185,4.2735490798950195
203,random,124,2.7572755813598633
204,random,82,2.4526760578155518
205,random,161,2.9774577617645264
206,random,22,1.515990972518921
207,random,5,1.1495070457458496
208,random,17,1.3347587585449219
209,random,85,2.2862801551818848
210,random,6,1.2070024013519287
211,random,555,8.075574398040771
212,random,63,2.2250559329986572
213,random,388,7.912165880203247
214,random,37,1.6217002868652344
215,random,10,1.2568836212158203
216,random,33,1.5200319290161133
217,random,30,1.4844763278961182
218,random,281,6.43664026260376
219,random,330,5.818767070770264
220,random,192,3.6797380447387695
221,random,228,4.23945689201355
222,random,34,1.7102351188659668
223,random,223,5.012646198272705
224,random,35,1.397935152053833
225,random,304,5.545210838317871
226,random,186,4.072926998138428
227,random,17,1.2739384174346924
228,random,156,3.2188775539398193
229,random,9,1.2028453350067139
230,random,6,1.1999263763427734
231,random,193,4.772214889526367
232,random,102,2.848273992538452
233,random,86,2.4131674766540527
234,random,115,3.274441719055176
235,random,302,5.95218825340271
236,random,166,3.960911989212036
237,random,668,8.946914672851562
238,random,65,2.1185765266418457
239,random,19,1.4600028991699219
240,random,105,3.4664831161499023
241,random,203,4.813141107559204
242,random,13,1.3712971210479736
243,random,6,1.3261122703552246
244,random,85,2.6512410640716553
245,random,40,1.9448812007904053
246,random,139,3.5005578994750977
247,random,134,3.2372636795043945
248,random,48,2.0685033798217773
249,random,215,4.144946336746216
250,random,24,1.57603120803833
251,random,70,1.9414234161376953
252,random,180,4.1056365966796875
253,random,15,1.54970383644104
254,random,12,1.5212898254394531
255,random,142,3.246863842010498
256,random,9,1.3033311367034912
257,random,68,2.260551691055298
258,random,44,1.948479175567627
259,random,5,1.2002222537994385
260,random,163,3.436971426010132
261,random,80,2.4739058017730713
262,random,3,1.1807212829589844
263,random,28,1.6261296272277832
264,random,5,1.2760717868804932
265,random,40,1.710073709487915
266,random,33,1.5850245952606201
267,random,85,2.4182372093200684
268,random,33,1.6661231517791748
269,random,62,2.3996129035949707
270,random,190,4.183727979660034
271,random,20,1.458918571472168
272,random,133,3.3216946125030518
